Source Name	Characteristics [organism]	Characteristics[cultivar]	Characteristics [initial time point]	Characteristics [age]	Unit[TimeUnit]	Characteristics [sex]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [biosource type]	Provider	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [genotype]	Factor Value [age]	Unit [time unit]
RRM-IS1.3	Vitis vinifera	Carignan	budburst	18	day	hermaphrodite	EFO	EFO_0001267	inflorescence	EFO	EFO_0001029	RRM variant	fresh sample	Vassal collection in Montpellier (France)	P-MTAB-2614	P-MTAB-2611	P-MTAB-2613	E_RRM-IS1.3	total_RNA	P-AFFY-2	L_RRM-IS1.3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_RRM-IS1.3	A-AFFY-78	P-AFFY-6	RRM-IS1.3.CEL	RRM-IS1.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.raw.1.zip	P-MTAB-2612	E-MEXP-1950-processed-data-1747039308.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.processed.1.zip	RRM variant	18	day
Car-IS3.3	Vitis vinifera	Carignan	budburst	27	day	hermaphrodite	EFO	EFO_0001267	inflorescence	EFO	EFO_0001029	wild type genotype	fresh sample	Vassal collection in Montpellier (France)	P-MTAB-2614	P-MTAB-2611	P-MTAB-2613	E_Car-IS3.3	total_RNA	P-AFFY-2	L_Car-IS3.3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Car-IS3.3	A-AFFY-78	P-AFFY-6	Car-IS3.3.CEL	Car-IS3.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.raw.1.zip	P-MTAB-2612	E-MEXP-1950-processed-data-1747039308.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.processed.1.zip	wild type genotype	27	day
RRM-IS1.1	Vitis vinifera	Carignan	budburst	18	day	hermaphrodite	EFO	EFO_0001267	inflorescence	EFO	EFO_0001029	RRM variant	fresh sample	Vassal collection in Montpellier (France)	P-MTAB-2614	P-MTAB-2611	P-MTAB-2613	E_RRM-IS1.1	total_RNA	P-AFFY-2	L_RRM-IS1.1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_RRM-IS1.1	A-AFFY-78	P-AFFY-6	RRM-IS1.1.CEL	RRM-IS1.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.raw.1.zip	P-MTAB-2612	E-MEXP-1950-processed-data-1747039308.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.processed.1.zip	RRM variant	18	day
Car-IS3.2	Vitis vinifera	Carignan	budburst	27	day	hermaphrodite	EFO	EFO_0001267	inflorescence	EFO	EFO_0001029	wild type genotype	fresh sample	Vassal collection in Montpellier (France)	P-MTAB-2614	P-MTAB-2611	P-MTAB-2613	E_Car-IS3.2	total_RNA	P-AFFY-2	L_Car-IS3.2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Car-IS3.2	A-AFFY-78	P-AFFY-6	Car-IS3.2.CEL	Car-IS3.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.raw.1.zip	P-MTAB-2612	E-MEXP-1950-processed-data-1747039308.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.processed.1.zip	wild type genotype	27	day
Car-IS3.1	Vitis vinifera	Carignan	budburst	27	day	hermaphrodite	EFO	EFO_0001267	inflorescence	EFO	EFO_0001029	wild type genotype	fresh sample	Vassal collection in Montpellier (France)	P-MTAB-2614	P-MTAB-2611	P-MTAB-2613	E_Car-IS3.1	total_RNA	P-AFFY-2	L_Car-IS3.1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Car-IS3.1	A-AFFY-78	P-AFFY-6	Car-IS3.1.CEL	Car-IS3.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.raw.1.zip	P-MTAB-2612	E-MEXP-1950-processed-data-1747039308.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.processed.1.zip	wild type genotype	27	day
Car-IS1.1	Vitis vinifera	Carignan	budburst	18	day	hermaphrodite	EFO	EFO_0001267	inflorescence	EFO	EFO_0001029	wild type genotype	fresh sample	Vassal collection in Montpellier (France)	P-MTAB-2614	P-MTAB-2611	P-MTAB-2613	E_Car-IS1.1	total_RNA	P-AFFY-2	L_Car-IS1.1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Car-IS1.1	A-AFFY-78	P-AFFY-6	Car-IS1.1.CEL	Car-IS1.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.raw.1.zip	P-MTAB-2612	E-MEXP-1950-processed-data-1747039308.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.processed.1.zip	wild type genotype	18	day
car-IS1.3	Vitis vinifera	Carignan	budburst	18	day	hermaphrodite	EFO	EFO_0001267	inflorescence	EFO	EFO_0001029	wild type genotype	fresh sample	Vassal collection in Montpellier (France)	P-MTAB-2614	P-MTAB-2611	P-MTAB-2613	E_car-IS1.3	total_RNA	P-AFFY-2	L_car-IS1.3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_car-IS1.3	A-AFFY-78	P-AFFY-6	Car-IS1.3.CEL	Car-IS1.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.raw.1.zip	P-MTAB-2612	E-MEXP-1950-processed-data-1747039308.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.processed.1.zip	wild type genotype	18	day
RRM-IS2.3	Vitis vinifera	Carignan	budburst	27	day	hermaphrodite	EFO	EFO_0001267	inflorescence	EFO	EFO_0001029	RRM variant	fresh sample	Vassal collection in Montpellier (France)	P-MTAB-2614	P-MTAB-2611	P-MTAB-2613	E_RRM-IS2.3	total_RNA	P-AFFY-2	L_RRM-IS2.3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_RRM-IS2.3	A-AFFY-78	P-AFFY-6	RRM-IS2.3.CEL	RRM-IS2.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.raw.1.zip	P-MTAB-2612	E-MEXP-1950-processed-data-1747039308.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.processed.1.zip	RRM variant	27	day
Car-IS1.2	Vitis vinifera	Carignan	budburst	18	day	hermaphrodite	EFO	EFO_0001267	inflorescence	EFO	EFO_0001029	wild type genotype	fresh sample	Vassal collection in Montpellier (France)	P-MTAB-2614	P-MTAB-2611	P-MTAB-2613	E_Car-IS1.2	total_RNA	P-AFFY-2	L_Car-IS1.2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Car-IS1.2	A-AFFY-78	P-AFFY-6	Car-IS1.2.CEL	Car-IS1.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.raw.1.zip	P-MTAB-2612	E-MEXP-1950-processed-data-1747039308.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.processed.1.zip	wild type genotype	18	day
RRM-IS2.1	Vitis vinifera	Carignan	budburst	27	day	hermaphrodite	EFO	EFO_0001267	inflorescence	EFO	EFO_0001029	RRM variant	fresh sample	Vassal collection in Montpellier (France)	P-MTAB-2614	P-MTAB-2611	P-MTAB-2613	E_RRM-IS2.1	total_RNA	P-AFFY-2	L_RRM-IS2.1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_RRM-IS2.1	A-AFFY-78	P-AFFY-6	RRM-IS2.1.CEL	RRM-IS2.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.raw.1.zip	P-MTAB-2612	E-MEXP-1950-processed-data-1747039308.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1950/E-MEXP-1950.processed.1.zip	RRM variant	27	day
