Source Name	Characteristics[Organism]	Characteristics[BioSourceType]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Characteristics[DiseaseState]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	LabeledExtract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value[DISEASE_STATE]
I7R1-I	Vitis vinifera	frozen_sample	OTHER: plantlet	OTHER: leaf	infected by E. lata strain NE85-1	P-MTAB-3634	P-MTAB-3635	P-MTAB-3631	E_I7R1-I	total_RNA	P-MTAB-3633	L_I7R1-I_1	Cy5	P-MTAB-3629	H_I7R1-I_1_I7R1-S_1	A-MEXP-1536	P-MTAB-3630	505-I7R1-S_cy3-430-_I_cy5-500--chr_532_raw.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.raw.1.zip	P-MTAB-3628	505-I7R1-S_cy3-430-_I_cy5-500--chr_532_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.processed.2.zip	P-MTAB-3632	euptypa.mapman.log2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.processed.1.zip	infected by E. lata strain NE85-1
I7R1-I	Vitis vinifera	frozen_sample	OTHER: plantlet	OTHER: leaf	infected by E. lata strain NE85-1	P-MTAB-3634	P-MTAB-3635	P-MTAB-3631	E_I7R1-I	total_RNA	P-MTAB-3633	L_I7R1-I_2	Cy3	P-MTAB-3629	H_I7R1-S_2_I7R1-I_2	A-MEXP-1536	P-MTAB-3630	506-I7R1-I_cy3-430-_S_cy5-500--chr_532_raw.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.raw.1.zip	P-MTAB-3628	506-I7R1-I_cy3-430-_S_cy5-500--chr_532_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.processed.2.zip	  	  	  	infected by E. lata strain NE85-1
I7R1-I	Vitis vinifera	frozen_sample	OTHER: plantlet	OTHER: leaf	infected by E. lata strain NE85-1	P-MTAB-3634	P-MTAB-3635	P-MTAB-3631	E_I7R1-I	total_RNA	P-MTAB-3633	L_I7R1-I_3	Cy5	P-MTAB-3629	H_I7R1-I_3_I7R1-S_3	A-MEXP-1536	P-MTAB-3630	524-I7R1_S-_cy3-400-_I7R1_I-cy5-460-_raw.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.raw.1.zip	P-MTAB-3628	524-I7R1_S-_cy3-400-_I7R1_I-cy5-460-_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.processed.2.zip	  	  	  	infected by E. lata strain NE85-1
I7R1-I	Vitis vinifera	frozen_sample	OTHER: plantlet	OTHER: leaf	infected by E. lata strain NE85-1	P-MTAB-3634	P-MTAB-3635	P-MTAB-3631	E_I7R1-I	total_RNA	P-MTAB-3633	L_I7R1-I_4	Cy3	P-MTAB-3629	H_I7R1-S_4_I7R1-I_4	A-MEXP-1536	P-MTAB-3630	525-I7R1_I-_cy3-400-_I7R1_S-cy5-460-_raw.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.raw.1.zip	P-MTAB-3628	525-I7R1_I-_cy3-400-_I7R1_S-cy5-460-_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.processed.2.zip	  	  	  	infected by E. lata strain NE85-1
I7R1-S	Vitis vinifera	frozen_sample	OTHER: plantlet	OTHER: leaf	not infected by E. lata strain NE85-1	P-MTAB-3634	P-MTAB-3635	P-MTAB-3631	E_I7R1-S	total_RNA	P-MTAB-3633	L_I7R1-S_1	Cy3	P-MTAB-3629	H_I7R1-I_1_I7R1-S_1	A-MEXP-1536	P-MTAB-3630	505-I7R1-S_cy3-430-_I_cy5-500--chr_532_raw.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.raw.1.zip	P-MTAB-3628	505-I7R1-S_cy3-430-_I_cy5-500--chr_532_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.processed.2.zip	  	  	  	not infected by E. lata strain NE85-1
I7R1-S	Vitis vinifera	frozen_sample	OTHER: plantlet	OTHER: leaf	not infected by E. lata strain NE85-1	P-MTAB-3634	P-MTAB-3635	P-MTAB-3631	E_I7R1-S	total_RNA	P-MTAB-3633	L_I7R1-S_2	Cy5	P-MTAB-3629	H_I7R1-S_2_I7R1-I_2	A-MEXP-1536	P-MTAB-3630	506-I7R1-I_cy3-430-_S_cy5-500--chr_532_raw.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.raw.1.zip	P-MTAB-3628	506-I7R1-I_cy3-430-_S_cy5-500--chr_532_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.processed.2.zip	  	  	  	not infected by E. lata strain NE85-1
I7R1-S	Vitis vinifera	frozen_sample	OTHER: plantlet	OTHER: leaf	not infected by E. lata strain NE85-1	P-MTAB-3634	P-MTAB-3635	P-MTAB-3631	E_I7R1-S	total_RNA	P-MTAB-3633	L_I7R1-S_3	Cy3	P-MTAB-3629	H_I7R1-I_3_I7R1-S_3	A-MEXP-1536	P-MTAB-3630	524-I7R1_S-_cy3-400-_I7R1_I-cy5-460-_raw.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.raw.1.zip	P-MTAB-3628	524-I7R1_S-_cy3-400-_I7R1_I-cy5-460-_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.processed.2.zip	  	  	  	not infected by E. lata strain NE85-1
I7R1-S	Vitis vinifera	frozen_sample	OTHER: plantlet	OTHER: leaf	not infected by E. lata strain NE85-1	P-MTAB-3634	P-MTAB-3635	P-MTAB-3631	E_I7R1-S	total_RNA	P-MTAB-3633	L_I7R1-S_4	Cy5	P-MTAB-3629	H_I7R1-S_4_I7R1-I_4	A-MEXP-1536	P-MTAB-3630	525-I7R1_I-_cy3-400-_I7R1_S-cy5-460-_raw.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.raw.1.zip	P-MTAB-3628	525-I7R1_I-_cy3-400-_I7R1_S-cy5-460-_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.processed.2.zip	  	  	  	not infected by E. lata strain NE85-1
I7R2-I	Vitis vinifera	frozen_sample	OTHER: plantlet	OTHER: leaf	infected by E. lata strain NE85-1	P-MTAB-3634	P-MTAB-3635	P-MTAB-3631	E_I7R2-I	total_RNA	P-MTAB-3633	L_I7R2-I_1	Cy5	P-MTAB-3629	H_I7R2-I_1_I7R2-S_1	A-MEXP-1536	P-MTAB-3630	526-I7R2_S-_cy3-400-_I7R2_I-cy5-460-_raw.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.raw.1.zip	P-MTAB-3628	526-I7R2_S-_cy3-400-_I7R2_I-cy5-460-_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.processed.2.zip	  	  	  	infected by E. lata strain NE85-1
I7R2-I	Vitis vinifera	frozen_sample	OTHER: plantlet	OTHER: leaf	infected by E. lata strain NE85-1	P-MTAB-3634	P-MTAB-3635	P-MTAB-3631	E_I7R2-I	total_RNA	P-MTAB-3633	L_I7R2-I_2	Cy3	P-MTAB-3629	H_I7R2-S_2_I7R2-I_2	A-MEXP-1536	P-MTAB-3630	527-I7R2_I-_cy3-400-_I7R2_S-cy5-460-_raw.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.raw.1.zip	P-MTAB-3628	527-I7R2_I-_cy3-400-_I7R2_S-cy5-460-_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2102/E-MEXP-2102.processed.2.zip	  	  	  	infected by E. lata strain NE85-1
