Source Name	Material Type	Characteristics[Organism]	Characteristics[BioSourceType]	Characteristics[OrganismPart]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[COMPOUND]	Factor Value[DOSE]	Unit[ConcentrationUnit]
DMSO 1	  	Vitis vinifera	frozen_sample	OTHER: commercially ripe grape berry	P-MTAB-18421	P-MTAB-18422	P-MTAB-18423	DMSO 1	total_RNA	  	ArrayExpress	DMSO 1	biotin	  	ArrayExpress	DMSO 1	A-AFFY-78	  	ArrayExpress	DMSO5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3045/E-MEXP-3045.raw.1.zip	DMSO	0.5 % (v/v)	0
DMSO 2	  	Vitis vinifera	frozen_sample	OTHER: commercially ripe grape berry	P-MTAB-18421	P-MTAB-18422	P-MTAB-18423	DMSO 2	total_RNA	  	ArrayExpress	DMSO 2	biotin	  	ArrayExpress	DMSO 2	A-AFFY-78	  	ArrayExpress	DMSO6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3045/E-MEXP-3045.raw.1.zip	DMSO	0.5 % (v/v)	0
MJ 1	  	Vitis vinifera	frozen_sample	OTHER: commercially ripe grape berry	P-MTAB-18421	P-MTAB-18422	P-MTAB-18423	MJ 1	total_RNA	  	ArrayExpress	MJ 1	biotin	  	ArrayExpress	MJ 1	A-AFFY-78	  	ArrayExpress	MJ42.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3045/E-MEXP-3045.raw.1.zip	Methyl Jasmonate	5 mM MJ	0
MJ 2	  	Vitis vinifera	frozen_sample	OTHER: commercially ripe grape berry	P-MTAB-18421	P-MTAB-18422	P-MTAB-18423	MJ 2	total_RNA	  	ArrayExpress	MJ 2	biotin	  	ArrayExpress	MJ 2	A-AFFY-78	  	ArrayExpress	MJ43.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3045/E-MEXP-3045.raw.1.zip	Methyl Jasmonate	5 mM MJ	0
SA 1	  	Vitis vinifera	frozen_sample	OTHER: commercially ripe grape berry	P-MTAB-18421	P-MTAB-18422	P-MTAB-18423	SA 1	total_RNA	  	ArrayExpress	SA 1	biotin	  	ArrayExpress	SA 1	A-AFFY-78	  	ArrayExpress	SA42.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3045/E-MEXP-3045.raw.1.zip	Salicylic Acid	25 mM	0
SA 2	  	Vitis vinifera	frozen_sample	OTHER: commercially ripe grape berry	P-MTAB-18421	P-MTAB-18422	P-MTAB-18423	SA 2	total_RNA	  	ArrayExpress	SA 2	biotin	  	ArrayExpress	SA 2	A-AFFY-78	  	ArrayExpress	SA43.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3045/E-MEXP-3045.raw.1.zip	Salicylic Acid	25 mM	0
SAMJ 1	  	Vitis vinifera	frozen_sample	OTHER: commercially ripe grape berry	P-MTAB-18421	P-MTAB-18422	P-MTAB-18423	SAMJ 1	total_RNA	  	ArrayExpress	SAMJ 1	biotin	  	ArrayExpress	SAMJ 1	A-AFFY-78	  	ArrayExpress	SA4MJ2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3045/E-MEXP-3045.raw.1.zip	Combined Salicylic Acid and Methyl Jasmonate	25 mM SA + 5 mM MJ	0
SAMJ 2	  	Vitis vinifera	frozen_sample	OTHER: commercially ripe grape berry	P-MTAB-18421	P-MTAB-18422	P-MTAB-18423	SAMJ 2	total_RNA	  	ArrayExpress	SAMJ 2	biotin	  	ArrayExpress	SAMJ 2	A-AFFY-78	  	ArrayExpress	SA4MJ3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3045/E-MEXP-3045.raw.1.zip	Combined Salicylic Acid and Methyl Jasmonate	25 mM SA + 5 mM MJ	0
Sulfur dioxide 1	  	Vitis vinifera	frozen_sample	OTHER: commercially ripe grape berry	P-MTAB-18421	P-MTAB-18422	P-MTAB-18423	Sulfur dioxide 1	total_RNA	  	ArrayExpress	Sulfur dioxide 1	biotin	  	ArrayExpress	Sulfur dioxide 1	A-AFFY-78	  	ArrayExpress	SO22.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3045/E-MEXP-3045.raw.1.zip	Sulfur dioxide for 21 days	sulphur pads - see treatment methods	0
Sulfur dioxide 2	  	Vitis vinifera	frozen_sample	OTHER: commercially ripe grape berry	P-MTAB-18421	P-MTAB-18422	P-MTAB-18423	Sulfur dioxide 2	total_RNA	  	ArrayExpress	Sulfur dioxide 2	biotin	  	ArrayExpress	Sulfur dioxide 2	A-AFFY-78	  	ArrayExpress	SO23.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3045/E-MEXP-3045.raw.1.zip	Sulfur dioxide for 21 days	stosulphur pads - see treatment methods	0
untreated 1	  	Vitis vinifera	frozen_sample	OTHER: commercially ripe grape berry	P-MTAB-18421	P-MTAB-18422	P-MTAB-18423	untreated 1	total_RNA	  	ArrayExpress	untreated 1	biotin	  	ArrayExpress	untreated 1	A-AFFY-78	  	ArrayExpress	minusSO22.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3045/E-MEXP-3045.raw.1.zip	untreated	0	0
untreated 2	  	Vitis vinifera	frozen_sample	OTHER: commercially ripe grape berry	P-MTAB-18421	P-MTAB-18422	P-MTAB-18423	untreated 2	total_RNA	  	ArrayExpress	untreated 2	biotin	  	ArrayExpress	untreated 2	A-AFFY-78	  	ArrayExpress	minusSO24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3045/E-MEXP-3045.raw.1.zip	untreated	0	0
