Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cultivar]	Characteristics[genotype]	Characteristics[disease]	Characteristics[phenotype]	Characteristics[organism part]	Characteristics[replicate]	Characteristics[growth condition]	Characteristics[sampling time point]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[disease]	Factor Value[phenotype]	Factor Value[sampling time point]
CFIII-1	ERS8946007	SAMEA11296448	Vitis vinifera	Furmint	wild type genotype	stage II. Noble rot	fully colored epidermis, mild shrivelling	berry	1/4	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFIII-1	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFIII-1	sequencing assay	ERX6991115	CFIII-1.fastq.gz	CFIII-1.fastq.gz	ERR7421522	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/002/ERR7421522/ERR7421522.fastq.gz	stage II. Noble rot	fully colored epidermis, mild shrivelling	October 25, 2016
CFIII-2	ERS8946008	SAMEA11296449	Vitis vinifera	Furmint	wild type genotype	stage II. Noble rot	fully colored epidermis, mild shrivelling	berry	2/4	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFIII-2	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFIII-2	sequencing assay	ERX6991116	CFIII-2.fastq.gz	CFIII-2.fastq.gz	ERR7421523	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/003/ERR7421523/ERR7421523.fastq.gz	stage II. Noble rot	fully colored epidermis, mild shrivelling	October 25, 2016
CFIII-3	ERS8946009	SAMEA11296450	Vitis vinifera	Furmint	wild type genotype	stage II. Noble rot	fully colored epidermis, mild shrivelling	berry	3/4	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFIII-3	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFIII-3	sequencing assay	ERX6991117	CFIII-3.fastq.gz	CFIII-3.fastq.gz	ERR7421524	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/004/ERR7421524/ERR7421524.fastq.gz	stage II. Noble rot	fully colored epidermis, mild shrivelling	October 25, 2016
CFIII-4	ERS8946010	SAMEA11296451	Vitis vinifera	Furmint	wild type genotype	stage II. Noble rot	fully colored epidermis, mild shrivelling	berry	4/4	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFIII-4	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFIII-4	sequencing assay	ERX6991118	CFIII-4.fastq.gz	CFIII-4.fastq.gz	ERR7421525	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/005/ERR7421525/ERR7421525.fastq.gz	stage II. Noble rot	fully colored epidermis, mild shrivelling	October 25, 2016
DFIII-1	ERS8946011	SAMEA11296452	Vitis vinifera	Furmint	wild type genotype	stage II. Noble rot	fully colored epidermis, mild shrivelling	berry	1/5	field study	November 3, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	DFIII-1	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	DFIII-1	sequencing assay	ERX6991119	DFIII-1.fastq.gz	DFIII-1.fastq.gz	ERR7421526	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/006/ERR7421526/ERR7421526.fastq.gz	stage II. Noble rot	fully colored epidermis, mild shrivelling	November 3, 2016
DFIII-2	ERS8946012	SAMEA11296453	Vitis vinifera	Furmint	wild type genotype	stage II. Noble rot	fully colored epidermis, mild shrivelling	berry	2/5	field study	November 3, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	DFIII-2	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	DFIII-2	sequencing assay	ERX6991120	DFIII-2.fastq.gz	DFIII-2.fastq.gz	ERR7421527	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/007/ERR7421527/ERR7421527.fastq.gz	stage II. Noble rot	fully colored epidermis, mild shrivelling	November 3, 2016
DFIII-3	ERS8946013	SAMEA11296454	Vitis vinifera	Furmint	wild type genotype	stage II. Noble rot	fully colored epidermis, mild shrivelling	berry	3/5	field study	November 3, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	DFIII-3	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	DFIII-3	sequencing assay	ERX6991121	DFIII-3.fastq.gz	DFIII-3.fastq.gz	ERR7421528	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/008/ERR7421528/ERR7421528.fastq.gz	stage II. Noble rot	fully colored epidermis, mild shrivelling	November 3, 2016
DFIII-4	ERS8946014	SAMEA11296455	Vitis vinifera	Furmint	wild type genotype	stage II. Noble rot	fully colored epidermis, mild shrivelling	berry	4/5	field study	November 3, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	DFIII-4	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	DFIII-4	sequencing assay	ERX6991122	DFIII-4.fastq.gz	DFIII-4.fastq.gz	ERR7421529	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/009/ERR7421529/ERR7421529.fastq.gz	stage II. Noble rot	fully colored epidermis, mild shrivelling	November 3, 2016
DFIII-5	ERS8946015	SAMEA11296456	Vitis vinifera	Furmint	wild type genotype	stage II. Noble rot	fully colored epidermis, mild shrivelling	berry	5/5	field study	November 3, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	DFIII-5	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	DFIII-5	sequencing assay	ERX6991123	DFIII-5.fastq.gz	DFIII-5.fastq.gz	ERR7421530	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/000/ERR7421530/ERR7421530.fastq.gz	stage II. Noble rot	fully colored epidermis, mild shrivelling	November 3, 2016
CFIV-1	ERS8946016	SAMEA11296457	Vitis vinifera	Furmint	wild type genotype	stage III. Noble rot	mature noble rot berries, fully shrivelled	berry	1/5	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFIV-1	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFIV-1	sequencing assay	ERX6991124	CFIV-1.fastq.gz	CFIV-1.fastq.gz	ERR7421531	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/001/ERR7421531/ERR7421531.fastq.gz	stage III. Noble rot	mature noble rot berries, fully shrivelled	October 25, 2016
