Source Name	Material Type	Characteristics[Organism]	Characteristics[organism part]	Characteristics[strain]	Protocol REF	Protocol REF	Protocol REF	Sample Name	Comment[biological replicate]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value[strain]
1103P.1	organism part	Vitis vinifera	Shoot apex	1103 Paulsen	P-MTAB-31364	P-MTAB-31365	P-MTAB-31366	1103P.1	1	P-MTAB-31367	1103P.1	RNA	P-MTAB-31368	1103P.1	Cy3	P-MTAB-31381	1103P.1	A-MEXP-2292	P-MTAB-31370	470481A01_2011-12-01_12-44_532_norm_RMA.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.raw.1.zip	P-MTAB-31371	apex_expression_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.processed.1.zip	1103 Paulsen
CS.1	organism part	Vitis vinifera	Shoot apex	Cabernet Sauvignon	P-MTAB-31364	P-MTAB-31365	P-MTAB-31366	CS.1	1	P-MTAB-31367	CS.1	RNA	P-MTAB-31368	CS.1	Cy3	P-MTAB-31381	CS.1	A-MEXP-2292	P-MTAB-31370	470481A02_2011-12-01_12-44_532_norm_RMA.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.raw.1.zip	P-MTAB-31371	apex_expression_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.processed.1.zip	Cabernet Sauvignon
RG.1	organism part	Vitis vinifera	Shoot apex	Riparia Gloire de Montpellier	P-MTAB-31364	P-MTAB-31365	P-MTAB-31366	RG.1	1	P-MTAB-31367	RG.1	RNA	P-MTAB-31368	RG.1	Cy3	P-MTAB-31381	RG.1	A-MEXP-2292	P-MTAB-31370	470481A03_2011-12-01_12-44_532_norm_RMA.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.raw.1.zip	P-MTAB-31371	apex_expression_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.processed.1.zip	Riparia Gloire de Montpellier
1103P.2	organism part	Vitis vinifera	Shoot apex	1103 Paulsen	P-MTAB-31364	P-MTAB-31365	P-MTAB-31366	1103P.2	2	P-MTAB-31367	1103P.2	RNA	P-MTAB-31368	1103P.2	Cy3	P-MTAB-31381	1103P.2	A-MEXP-2292	P-MTAB-31370	470481A04_2011-12-01_12-44_532_norm_RMA.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.raw.1.zip	P-MTAB-31371	apex_expression_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.processed.1.zip	1103 Paulsen
CS.2	organism part	Vitis vinifera	Shoot apex	Cabernet Sauvignon	P-MTAB-31364	P-MTAB-31365	P-MTAB-31366	CS.2	2	P-MTAB-31367	CS.2	RNA	P-MTAB-31368	CS.2	Cy3	P-MTAB-31381	CS.2	A-MEXP-2292	P-MTAB-31370	470481A05_2011-12-01_12-44_532_norm_RMA.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.raw.1.zip	P-MTAB-31371	apex_expression_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.processed.1.zip	Cabernet Sauvignon
RG.2	organism part	Vitis vinifera	Shoot apex	Riparia Gloire de Montpellier	P-MTAB-31364	P-MTAB-31365	P-MTAB-31366	RG.2	2	P-MTAB-31367	RG.2	RNA	P-MTAB-31368	RG.2	Cy3	P-MTAB-31381	RG.2	A-MEXP-2292	P-MTAB-31370	470481A06_2011-12-01_12-44_532_norm_RMA.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.raw.1.zip	P-MTAB-31371	apex_expression_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.processed.1.zip	Riparia Gloire de Montpellier
1103P.3	organism part	Vitis vinifera	Shoot apex	1103 Paulsen	P-MTAB-31364	P-MTAB-31365	P-MTAB-31366	1103P.3	3	P-MTAB-31367	1103P.3	RNA	P-MTAB-31368	1103P.3	Cy3	P-MTAB-31381	1103P.3	A-MEXP-2292	P-MTAB-31370	470481A07_2011-12-01_12-44_532_norm_RMA.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.raw.1.zip	P-MTAB-31371	apex_expression_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.processed.1.zip	1103 Paulsen
CS.3	organism part	Vitis vinifera	Shoot apex	Cabernet Sauvignon	P-MTAB-31364	P-MTAB-31365	P-MTAB-31366	CS.3	3	P-MTAB-31367	CS.3	RNA	P-MTAB-31368	CS.3	Cy3	P-MTAB-31381	CS.3	A-MEXP-2292	P-MTAB-31370	470481A08_2011-12-01_12-44_532_norm_RMA.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.raw.1.zip	P-MTAB-31371	apex_expression_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.processed.1.zip	Cabernet Sauvignon
RG.3	organism part	Vitis vinifera	Shoot apex	Riparia Gloire de Montpellier	P-MTAB-31364	P-MTAB-31365	P-MTAB-31366	RG.3	3	P-MTAB-31367	RG.3	RNA	P-MTAB-31368	RG.3	Cy3	P-MTAB-31381	RG.3	A-MEXP-2292	P-MTAB-31370	470481A09_2011-12-01_12-44_532_norm_RMA.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.raw.1.zip	P-MTAB-31371	apex_expression_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.processed.1.zip	Riparia Gloire de Montpellier
1103P.4	organism part	Vitis vinifera	Shoot apex	1103 Paulsen	P-MTAB-31364	P-MTAB-31365	P-MTAB-31366	1103P.4	4	P-MTAB-31367	1103P.4	RNA	P-MTAB-31368	1103P.4	Cy3	P-MTAB-31381	1103P.4	A-MEXP-2292	P-MTAB-31370	470481A10_2011-12-01_12-44_532_norm_RMA.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.raw.1.zip	P-MTAB-31371	apex_expression_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.processed.1.zip	1103 Paulsen
CS.4	organism part	Vitis vinifera	Shoot apex	Cabernet Sauvignon	P-MTAB-31364	P-MTAB-31365	P-MTAB-31366	CS.4	4	P-MTAB-31367	CS.4	RNA	P-MTAB-31368	CS.4	Cy3	P-MTAB-31381	CS.4	A-MEXP-2292	P-MTAB-31370	470481A11_2011-12-01_12-44_532_norm_RMA.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.raw.1.zip	P-MTAB-31371	apex_expression_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.processed.1.zip	Cabernet Sauvignon
RG.4	organism part	Vitis vinifera	Shoot apex	Riparia Gloire de Montpellier	P-MTAB-31364	P-MTAB-31365	P-MTAB-31366	RG.4	4	P-MTAB-31367	RG.4	RNA	P-MTAB-31368	RG.4	Cy3	P-MTAB-31381	RG.4	A-MEXP-2292	P-MTAB-31370	470481A12_2011-12-01_12-44_532_norm_RMA.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.raw.1.zip	P-MTAB-31371	apex_expression_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1523/E-MTAB-1523.processed.1.zip	Riparia Gloire de Montpellier
