Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[strain]	Protocol REF	Protocol REF	Protocol REF	Sample Name	Characteristics[sampling time]	Unit[time unit]	Comment[Biological Replicates]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol Ref	Hybridization Name	Array Design REF	Protocol Ref	Array Data File	Comment [ArrayExpress FTP file]	Protocol Ref	Normalization Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value[sampling time]	Unit[time unit]	Factor Value[strain]
CS_3d_1	Vitis vinifera	Graft interface	Cabernet Sauvignon/Cabernet Sauvignon	P-MTAB-32303	P-MTAB-32304	P-MTAB-32305	CS_3d_1	3	day	1	P-MTAB-32306	CS_3d_1	RNA	P-MTAB-32307	CS_3d_1	Cy3	P-MTAB-32308	CS_3d_1	A-MEXP-2309	P-MTAB-32309	1055.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.raw.1.zip	P-MTAB-32310	sample_1055	normalised_data2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.processed.1.zip	3	day	Cabernet Sauvignon/Cabernet Sauvignon
CS_3d_2	Vitis vinifera	Graft interface	Cabernet Sauvignon/Cabernet Sauvignon	P-MTAB-32303	P-MTAB-32304	P-MTAB-32305	CS_3d_2	3	day	2	P-MTAB-32306	CS_3d_2	RNA	P-MTAB-32307	CS_3d_2	Cy3	P-MTAB-32308	CS_3d_2	A-MEXP-2309	P-MTAB-32309	1058.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.raw.1.zip	P-MTAB-32310	sample_1058	normalised_data2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.processed.1.zip	3	day	Cabernet Sauvignon/Cabernet Sauvignon
CS_3d_3	Vitis vinifera	Graft interface	Cabernet Sauvignon/Cabernet Sauvignon	P-MTAB-32303	P-MTAB-32304	P-MTAB-32305	CS_3d_3	3	day	3	P-MTAB-32306	CS_3d_3	RNA	P-MTAB-32307	CS_3d_3	Cy3	P-MTAB-32308	CS_3d_3	A-MEXP-2309	P-MTAB-32309	1061.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.raw.1.zip	P-MTAB-32310	sample_1061	normalised_data2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.processed.1.zip	3	day	Cabernet Sauvignon/Cabernet Sauvignon
RG_3d_1	Vitis vinifera	Graft interface	Cabernet Sauvignon/Riparia Gloire de Montpellier	P-MTAB-32303	P-MTAB-32304	P-MTAB-32305	RG_3d_1	3	day	1	P-MTAB-32306	RG_3d_1	RNA	P-MTAB-32307	RG_3d_1	Cy3	P-MTAB-32308	RG_3d_1	A-MEXP-2309	P-MTAB-32309	1064.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.raw.1.zip	P-MTAB-32310	sample_1064	normalised_data2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.processed.1.zip	3	day	Cabernet Sauvignon/Riparia Gloire de Montpellier
RG_3d_2	Vitis vinifera	Graft interface	Cabernet Sauvignon/Riparia Gloire de Montpellier	P-MTAB-32303	P-MTAB-32304	P-MTAB-32305	RG_3d_2	3	day	2	P-MTAB-32306	RG_3d_2	RNA	P-MTAB-32307	RG_3d_2	Cy3	P-MTAB-32308	RG_3d_2	A-MEXP-2309	P-MTAB-32309	1067.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.raw.1.zip	P-MTAB-32310	sample_1067	normalised_data2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.processed.1.zip	3	day	Cabernet Sauvignon/Riparia Gloire de Montpellier
RG_3d_3	Vitis vinifera	Graft interface	Cabernet Sauvignon/Riparia Gloire de Montpellier	P-MTAB-32303	P-MTAB-32304	P-MTAB-32305	RG_3d_3	3	day	3	P-MTAB-32306	RG_3d_3	RNA	P-MTAB-32307	RG_3d_3	Cy3	P-MTAB-32308	RG_3d_3	A-MEXP-2309	P-MTAB-32309	1070.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.raw.1.zip	P-MTAB-32310	sample_1070	normalised_data2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.processed.1.zip	3	day	Cabernet Sauvignon/Riparia Gloire de Montpellier
1103P_3d_1	Vitis vinifera	Graft interface	Cabernet Sauvignon/1103 Paulsen	P-MTAB-32303	P-MTAB-32304	P-MTAB-32305	1103P_3d_1	3	day	1	P-MTAB-32306	1103P_3d_1	RNA	P-MTAB-32307	1103P_3d_1	Cy3	P-MTAB-32308	1103P_3d_1	A-MEXP-2309	P-MTAB-32309	1091.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.raw.1.zip	P-MTAB-32310	sample_1091	normalised_data2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.processed.1.zip	3	day	Cabernet Sauvignon/1103 Paulsen
1103P_3d_2	Vitis vinifera	Graft interface	Cabernet Sauvignon/1103 Paulsen	P-MTAB-32303	P-MTAB-32304	P-MTAB-32305	1103P_3d_2	3	day	2	P-MTAB-32306	1103P_3d_2	RNA	P-MTAB-32307	1103P_3d_2	Cy3	P-MTAB-32308	1103P_3d_2	A-MEXP-2309	P-MTAB-32309	1094.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.raw.1.zip	P-MTAB-32310	sample_1094	normalised_data2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.processed.1.zip	3	day	Cabernet Sauvignon/1103 Paulsen
1103P_3d_3	Vitis vinifera	Graft interface	Cabernet Sauvignon/1103 Paulsen	P-MTAB-32303	P-MTAB-32304	P-MTAB-32305	1103P_3d_3	3	day	3	P-MTAB-32306	1103P_3d_3	RNA	P-MTAB-32307	1103P_3d_3	Cy3	P-MTAB-32308	1103P_3d_3	A-MEXP-2309	P-MTAB-32309	1097.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.raw.1.zip	P-MTAB-32310	sample_1097	normalised_data2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.processed.1.zip	3	day	Cabernet Sauvignon/1103 Paulsen
CS_7d_1	Vitis vinifera	Graft interface	Cabernet Sauvignon/Cabernet Sauvignon	P-MTAB-32303	P-MTAB-32304	P-MTAB-32305	CS_7d_1	7	day	1	P-MTAB-32306	CS_7d_1	RNA	P-MTAB-32307	CS_7d_1	Cy3	P-MTAB-32308	CS_7d_1	A-MEXP-2309	P-MTAB-32309	1100.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.raw.1.zip	P-MTAB-32310	sample_1100	normalised_data2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1610/E-MTAB-1610.processed.1.zip	7	day	Cabernet Sauvignon/Cabernet Sauvignon
