Source Name	Material Type	Provider	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[specimen with known storage state]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Comment[CDF]	Factor Value[developmental stage]	Factor Value[organism part]
Inflorescence_B_1	organism part	  	Vitis vinifera	inflorescence stage B	frozen specimen	Inflorescence	P-MTAB-37374	P-MTAB-37375	P-MTAB-37376	B1-1	RNA	P-MTAB-37377	Labeled Extract 1.biotin	biotin	P-AFFY-3	ArrayExpress	B1-1	A-AFFY-162	array assay	P-AFFY-6	ArrayExpress	B1-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2289/E-MTAB-2289.raw.1.zip	GrapeGena520510F.cdf	inflorescence stage B	inflorescence
Inflorescence_B_2	organism part	  	Vitis vinifera	inflorescence stage B	frozen specimen	Inflorescence	P-MTAB-37374	P-MTAB-37375	P-MTAB-37376	B1-2	RNA	P-MTAB-37377	Labeled Extract 2.biotin	biotin	P-AFFY-3	ArrayExpress	B1-2	A-AFFY-162	array assay	P-AFFY-6	ArrayExpress	B1-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2289/E-MTAB-2289.raw.1.zip	GrapeGena520510F.cdf	inflorescence stage B	inflorescence
Inflorescence_B_3	organism part	  	Vitis vinifera	inflorescence stage B	frozen specimen	Inflorescence	P-MTAB-37374	P-MTAB-37375	P-MTAB-37376	B1-3	RNA	P-MTAB-37377	Labeled Extract 3.biotin	biotin	P-AFFY-3	ArrayExpress	B1-3	A-AFFY-162	array assay	P-AFFY-6	ArrayExpress	B1-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2289/E-MTAB-2289.raw.1.zip	GrapeGena520510F.cdf	inflorescence stage B	inflorescence
Inflorescence_D_1	organism part	  	Vitis vinifera	inflorescence stage D	frozen specimen	Inflorescence	P-MTAB-37374	P-MTAB-37375	P-MTAB-37376	D-1	RNA	P-MTAB-37377	Labeled Extract 4.biotin	biotin	P-AFFY-3	ArrayExpress	D-1	A-AFFY-162	array assay	P-AFFY-6	ArrayExpress	D-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2289/E-MTAB-2289.raw.1.zip	GrapeGena520510F.cdf	inflorescence stage D	inflorescence
Inflorescence_D_2	organism part	  	Vitis vinifera	inflorescence stage D	frozen specimen	Inflorescence	P-MTAB-37374	P-MTAB-37375	P-MTAB-37376	D-2	RNA	P-MTAB-37377	Labeled Extract 5.biotin	biotin	P-AFFY-3	ArrayExpress	D-2	A-AFFY-162	array assay	P-AFFY-6	ArrayExpress	D-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2289/E-MTAB-2289.raw.1.zip	GrapeGena520510F.cdf	inflorescence stage D	inflorescence
Inflorescence_D_3	organism part	  	Vitis vinifera	inflorescence stage D	frozen specimen	Inflorescence	P-MTAB-37374	P-MTAB-37375	P-MTAB-37376	D-3	RNA	P-MTAB-37377	Labeled Extract 6.biotin	biotin	P-AFFY-3	ArrayExpress	D-3	A-AFFY-162	array assay	P-AFFY-6	ArrayExpress	D-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2289/E-MTAB-2289.raw.1.zip	GrapeGena520510F.cdf	inflorescence stage D	inflorescence
Inflorescence_G_1	organism part	  	Vitis vinifera	inflorescence stage G	frozen specimen	Inflorescence	P-MTAB-37374	P-MTAB-37375	P-MTAB-37376	G-1	RNA	P-MTAB-37377	Labeled Extract 7.biotin	biotin	P-AFFY-3	ArrayExpress	G-1	A-AFFY-162	array assay	P-AFFY-6	ArrayExpress	G-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2289/E-MTAB-2289.raw.1.zip	GrapeGena520510F.cdf	inflorescence stage G	inflorescence
Inflorescence_G_2	organism part	  	Vitis vinifera	inflorescence stage G	frozen specimen	Inflorescence	P-MTAB-37374	P-MTAB-37375	P-MTAB-37376	G-2	RNA	P-MTAB-37377	Labeled Extract 8.biotin	biotin	P-AFFY-3	ArrayExpress	G-2	A-AFFY-162	array assay	P-AFFY-6	ArrayExpress	G-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2289/E-MTAB-2289.raw.1.zip	GrapeGena520510F.cdf	inflorescence stage G	inflorescence
Inflorescence_G_3	organism part	  	Vitis vinifera	inflorescence stage G	frozen specimen	Inflorescence	P-MTAB-37374	P-MTAB-37375	P-MTAB-37376	G-3	RNA	P-MTAB-37377	Labeled Extract 9.biotin	biotin	P-AFFY-3	ArrayExpress	G-3	A-AFFY-162	array assay	P-AFFY-6	ArrayExpress	G-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2289/E-MTAB-2289.raw.1.zip	GrapeGena520510F.cdf	inflorescence stage G	inflorescence
Inflorescence_I_1	organism part	  	Vitis vinifera	inflorescence stage I	frozen specimen	Inflorescence	P-MTAB-37374	P-MTAB-37375	P-MTAB-37376	IP-1	RNA	P-MTAB-37377	Labeled Extract 10.biotin	biotin	P-AFFY-3	ArrayExpress	IP-1	A-AFFY-162	array assay	P-AFFY-6	ArrayExpress	IP-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2289/E-MTAB-2289.raw.1.zip	GrapeGena520510F.cdf	inflorescence stage I	inflorescence
Inflorescence_I_2	organism part	  	Vitis vinifera	inflorescence stage I	frozen specimen	Inflorescence	P-MTAB-37374	P-MTAB-37375	P-MTAB-37376	IP-2	RNA	P-MTAB-37377	Labeled Extract 11.biotin	biotin	P-AFFY-3	ArrayExpress	IP-2	A-AFFY-162	array assay	P-AFFY-6	ArrayExpress	IP-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2289/E-MTAB-2289.raw.1.zip	GrapeGena520510F.cdf	inflorescence stage I	inflorescence
Inflorescence_I_3	organism part	  	Vitis vinifera	inflorescence stage I	frozen specimen	Inflorescence	P-MTAB-37374	P-MTAB-37375	P-MTAB-37376	IP-3	RNA	P-MTAB-37377	Labeled Extract 12.biotin	biotin	P-AFFY-3	ArrayExpress	IP-3	A-AFFY-162	array assay	P-AFFY-6	ArrayExpress	IP-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2289/E-MTAB-2289.raw.1.zip	GrapeGena520510F.cdf	inflorescence stage I	inflorescence
Tendril_1_1	organism part	  	Vitis vinifera	tendril #1 (young)	frozen specimen	Tendril	P-MTAB-37374	P-MTAB-37375	P-MTAB-37376	T1-1	RNA	P-MTAB-37377	Labeled Extract 13.biotin	biotin	P-AFFY-3	ArrayExpress	T1-1	A-AFFY-162	array assay	P-AFFY-6	ArrayExpress	T1-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2289/E-MTAB-2289.raw.1.zip	GrapeGena520510F.cdf	tendril #1 (young)	tendril
Tendril_1_2	organism part	  	Vitis vinifera	tendril #1 (young)	frozen specimen	Tendril	P-MTAB-37374	P-MTAB-37375	P-MTAB-37376	T1-2	RNA	P-MTAB-37377	Labeled Extract 14.biotin	biotin	P-AFFY-3	ArrayExpress	T1-2	A-AFFY-162	array assay	P-AFFY-6	ArrayExpress	T1-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2289/E-MTAB-2289.raw.1.zip	GrapeGena520510F.cdf	tendril #1 (young)	tendril
Tendril_1_3	organism part	  	Vitis vinifera	tendril #1 (young)	frozen specimen	Tendril	P-MTAB-37374	P-MTAB-37375	P-MTAB-37376	T1-3	RNA	P-MTAB-37377	Labeled Extract 15.biotin	biotin	P-AFFY-3	ArrayExpress	T1-3	A-AFFY-162	array assay	P-AFFY-6	ArrayExpress	T1-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2289/E-MTAB-2289.raw.1.zip	GrapeGena520510F.cdf	tendril #1 (young)	tendril
Tendril_3_1	organism part	  	Vitis vinifera	tendril #3 (growing)	frozen specimen	Tendril	P-MTAB-37374	P-MTAB-37375	P-MTAB-37376	T3-1	RNA	P-MTAB-37377	Labeled Extract 16.biotin	biotin	P-AFFY-3	ArrayExpress	T3-1	A-AFFY-162	array assay	P-AFFY-6	ArrayExpress	T3-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2289/E-MTAB-2289.raw.1.zip	GrapeGena520510F.cdf	tendril #3 (growing)	tendril
