Source Name	Characteristics[organism]	Characteristics[cultivar]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Comment[ENA_SAMPLE]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[infect]
Pch1	Vitis vinifera	Cabernet Sauvignon	2	month	wood 	ERS905618	organism part	P-MTAB-46873	P-MTAB-46874	P-MTAB-46875	Pch1	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	213	29.82	5'-3'-3'-5'	P-MTAB-46877	IGBMC Strasbourg France	NM2409_N-01_1_S1.R	sequencing assay	ERX1139703	NM2409_N-01_1_S1.R1.fastq.gz	NM2409_N-01_1_S1.R1.fastq.gz	ERR1059552	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/002/ERR1059552/ERR1059552_1.fastq.gz	200	101	P-MTAB-46876	P-MTAB-46878	NM2409_Pch1.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3966/E-MTAB-3966.NM2409_Pch1.bam	Phaeomoniella chlamydospora wood infection
Pch1	Vitis vinifera	Cabernet Sauvignon	2	month	wood 	ERS905618	organism part	P-MTAB-46873	P-MTAB-46874	P-MTAB-46875	Pch1	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	213	29.82	5'-3'-3'-5'	P-MTAB-46877	IGBMC Strasbourg France	NM2409_N-01_1_S1.R	sequencing assay	ERX1139703	NM2409_N-01_1_S1.R2.fastq.gz	NM2409_N-01_1_S1.R2.fastq.gz	ERR1059552	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/002/ERR1059552/ERR1059552_2.fastq.gz	200	101	P-MTAB-46876	P-MTAB-46878	NM2409_Pch1.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3966/E-MTAB-3966.NM2409_Pch1.bam	Phaeomoniella chlamydospora wood infection
Pch2	Vitis vinifera	Cabernet Sauvignon	2	month	wood 	ERS905619	organism part	P-MTAB-46873	P-MTAB-46874	P-MTAB-46875	Pch2	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	196	24.3	5'-3'-3'-5'	P-MTAB-46877	IGBMC Strasbourg France	NM2409_N-02_7_S2.R	sequencing assay	ERX1139704	NM2409_N-02_7_S2.R1.fastq.gz	NM2409_N-02_7_S2.R1.fastq.gz	ERR1059553	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/003/ERR1059553/ERR1059553_1.fastq.gz	200	101	P-MTAB-46876	P-MTAB-46878	NM2409_Pch2.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3966/E-MTAB-3966.NM2409_Pch2.bam	Phaeomoniella chlamydospora wood infection
Pch2	Vitis vinifera	Cabernet Sauvignon	2	month	wood 	ERS905619	organism part	P-MTAB-46873	P-MTAB-46874	P-MTAB-46875	Pch2	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	196	24.3	5'-3'-3'-5'	P-MTAB-46877	IGBMC Strasbourg France	NM2409_N-02_7_S2.R	sequencing assay	ERX1139704	NM2409_N-02_7_S2.R2.fastq.gz	NM2409_N-02_7_S2.R2.fastq.gz	ERR1059553	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/003/ERR1059553/ERR1059553_2.fastq.gz	200	101	P-MTAB-46876	P-MTAB-46878	NM2409_Pch2.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3966/E-MTAB-3966.NM2409_Pch2.bam	Phaeomoniella chlamydospora wood infection
Pch3	Vitis vinifera	Cabernet Sauvignon	2	month	wood 	ERS905620	organism part	P-MTAB-46873	P-MTAB-46874	P-MTAB-46875	Pch3	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	202	27.27	5'-3'-3'-5'	P-MTAB-46877	IGBMC Strasbourg France	NM2409_N-03_3_S1.R	sequencing assay	ERX1139705	NM2409_N-03_3_S1.R1.fastq.gz	NM2409_N-03_3_S1.R1.fastq.gz	ERR1059554	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/004/ERR1059554/ERR1059554_1.fastq.gz	200	101	P-MTAB-46876	P-MTAB-46878	NM2409_Pch3.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3966/E-MTAB-3966.NM2409_Pch3.bam	Phaeomoniella chlamydospora wood infection
Pch3	Vitis vinifera	Cabernet Sauvignon	2	month	wood 	ERS905620	organism part	P-MTAB-46873	P-MTAB-46874	P-MTAB-46875	Pch3	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	202	27.27	5'-3'-3'-5'	P-MTAB-46877	IGBMC Strasbourg France	NM2409_N-03_3_S1.R	sequencing assay	ERX1139705	NM2409_N-03_3_S1.R2.fastq.gz	NM2409_N-03_3_S1.R2.fastq.gz	ERR1059554	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/004/ERR1059554/ERR1059554_2.fastq.gz	200	101	P-MTAB-46876	P-MTAB-46878	NM2409_Pch3.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3966/E-MTAB-3966.NM2409_Pch3.bam	Phaeomoniella chlamydospora wood infection
PoPch1	Vitis vinifera	Cabernet Sauvignon	2	month	wood 	ERS905621	organism part	P-MTAB-46873	P-MTAB-46874	P-MTAB-46875	PoPch1	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	185	20.75	5'-3'-3'-5'	P-MTAB-46877	IGBMC Strasbourg France	NM2409_N-04_4_S2.R	sequencing assay	ERX1139706	NM2409_N-04_4_S2.R1.fastq.gz	NM2409_N-04_4_S2.R1.fastq.gz	ERR1059555	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/005/ERR1059555/ERR1059555_1.fastq.gz	200	101	P-MTAB-46876	P-MTAB-46878	NM2409_PoPch1.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3966/E-MTAB-3966.NM2409_PoPch1.bam	Phaeomoniella chlamydospora wood infection and Pythium oligandrum root inoculation
PoPch1	Vitis vinifera	Cabernet Sauvignon	2	month	wood 	ERS905621	organism part	P-MTAB-46873	P-MTAB-46874	P-MTAB-46875	PoPch1	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	185	20.75	5'-3'-3'-5'	P-MTAB-46877	IGBMC Strasbourg France	NM2409_N-04_4_S2.R	sequencing assay	ERX1139706	NM2409_N-04_4_S2.R2.fastq.gz	NM2409_N-04_4_S2.R2.fastq.gz	ERR1059555	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/005/ERR1059555/ERR1059555_2.fastq.gz	200	101	P-MTAB-46876	P-MTAB-46878	NM2409_PoPch1.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3966/E-MTAB-3966.NM2409_PoPch1.bam	Phaeomoniella chlamydospora wood infection and Pythium oligandrum root inoculation
PoPch2	Vitis vinifera	Cabernet Sauvignon	2	month	wood 	ERS905622	organism part	P-MTAB-46873	P-MTAB-46874	P-MTAB-46875	PoPch2	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	198	26.73	5'-3'-3'-5'	P-MTAB-46877	IGBMC Strasbourg France	NM2409_N-05_5_S1.R	sequencing assay	ERX1139707	NM2409_N-05_5_S1.R1.fastq.gz	NM2409_N-05_5_S1.R1.fastq.gz	ERR1059556	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/006/ERR1059556/ERR1059556_1.fastq.gz	200	101	P-MTAB-46876	P-MTAB-46878	NM2409_PoPch2.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3966/E-MTAB-3966.NM2409_PoPch2.bam	Phaeomoniella chlamydospora wood infection and Pythium oligandrum root inoculation
PoPch2	Vitis vinifera	Cabernet Sauvignon	2	month	wood 	ERS905622	organism part	P-MTAB-46873	P-MTAB-46874	P-MTAB-46875	PoPch2	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	198	26.73	5'-3'-3'-5'	P-MTAB-46877	IGBMC Strasbourg France	NM2409_N-05_5_S1.R	sequencing assay	ERX1139707	NM2409_N-05_5_S1.R2.fastq.gz	NM2409_N-05_5_S1.R2.fastq.gz	ERR1059556	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/006/ERR1059556/ERR1059556_2.fastq.gz	200	101	P-MTAB-46876	P-MTAB-46878	NM2409_PoPch2.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3966/E-MTAB-3966.NM2409_PoPch2.bam	Phaeomoniella chlamydospora wood infection and Pythium oligandrum root inoculation
PoPch3	Vitis vinifera	Cabernet Sauvignon	2	month	wood 	ERS905623	organism part	P-MTAB-46873	P-MTAB-46874	P-MTAB-46875	PoPch3	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	203	25.13	5'-3'-3'-5'	P-MTAB-46877	IGBMC Strasbourg France	NM2409_N-06_14_S2.R	sequencing assay	ERX1139708	NM2409_N-06_14_S2.R1.fastq.gz	NM2409_N-06_14_S2.R1.fastq.gz	ERR1059557	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/007/ERR1059557/ERR1059557_1.fastq.gz	200	101	P-MTAB-46876	P-MTAB-46878	NM2409_PoPch3.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3966/E-MTAB-3966.NM2409_PoPch3.bam	Phaeomoniella chlamydospora wood infection and Pythium oligandrum root inoculation
PoPch3	Vitis vinifera	Cabernet Sauvignon	2	month	wood 	ERS905623	organism part	P-MTAB-46873	P-MTAB-46874	P-MTAB-46875	PoPch3	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	203	25.13	5'-3'-3'-5'	P-MTAB-46877	IGBMC Strasbourg France	NM2409_N-06_14_S2.R	sequencing assay	ERX1139708	NM2409_N-06_14_S2.R2.fastq.gz	NM2409_N-06_14_S2.R2.fastq.gz	ERR1059557	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/007/ERR1059557/ERR1059557_2.fastq.gz	200	101	P-MTAB-46876	P-MTAB-46878	NM2409_PoPch3.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3966/E-MTAB-3966.NM2409_PoPch3.bam	Phaeomoniella chlamydospora wood infection and Pythium oligandrum root inoculation
