Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cultivar]	Characteristics[organism part]	Characteristics[developmental stage]	Description	Comment [collection_date]	Comment [isolate]	Comment [geo_loc_name]	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[Center]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[READ_INDEX_1_BASE_COORD]	Comment[SPOT_LENGTH]	Factor Value[organism part]	FactorValue[developmental stage]
SRS350575	Vitis vinifera	NCBI Taxonomy	29760	Corvina	pool	not available	RNA pool of 45 samples deriving from different conditions and organs of Vitis vinifera cv. Corvina.	2011-06-01	Clone 48	Verona	pool_Corvina_I	SRS350575	LIBRARY_CONSTRUCTION_PROTOCOL_1	Corvina_pool1_SRX160417	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	310	0	SEQUENCING_PROTOCOL_1	FGC	SRX160417	sequencing assay	SRX160417	SRR522298_1	FGC	SRR522298	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522298/SRR522298_1.fastq.gz	101	200	pool	not available
SRS350575	Vitis vinifera	NCBI Taxonomy	29760	Corvina	pool	not available	RNA pool of 45 samples deriving from different conditions and organs of Vitis vinifera cv. Corvina.	2011-06-01	Clone 48	Verona	pool_Corvina_I	SRS350575	LIBRARY_CONSTRUCTION_PROTOCOL_1	Corvina_pool1_SRX160417	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	310	0	SEQUENCING_PROTOCOL_1	FGC	SRX160417	sequencing assay	SRX160417	SRR522298_2	FGC	SRR522298	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522298/SRR522298_2.fastq.gz	101	200	pool	not available
SRS350576	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	whole plant fruit formation stage 70% to final size	  	  	  	Italy: Verona	PFS_I 	SRS350576	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160426	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160426	sequencing assay	SRX160426	SRR522471_1	FGC	SRR522471	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522471/SRR522471_1.fastq.gz	  	102	fruit	whole plant fruit formation stage 70% to final size
SRS350576	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	whole plant fruit formation stage 70% to final size	  	  	  	Italy: Verona	PFS_I 	SRS350576	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160426	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160426	sequencing assay	SRX160426	SRR522471_2	FGC	SRR522471	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522471/SRR522471_2.fastq.gz	  	102	fruit	whole plant fruit formation stage 70% to final size
SRS350584	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	whole plant fruit formation stage 70% to final size	  	  	  	Italy: Verona	PFS_II 	SRS350584	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160438	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160438	sequencing assay	SRX160438	SRR522472_1	FGC	SRR522472	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522472/SRR522472_1.fastq.gz	  	102	fruit	whole plant fruit formation stage 70% to final size
SRS350584	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	whole plant fruit formation stage 70% to final size	  	  	  	Italy: Verona	PFS_II 	SRS350584	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160438	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160438	sequencing assay	SRX160438	SRR522472_2	FGC	SRR522472	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522472/SRR522472_2.fastq.gz	  	102	fruit	whole plant fruit formation stage 70% to final size
SRS350594	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	whole plant fruit formation stage 70% to final size	  	  	  	Italy: Verona	PFS_III 	SRS350594	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160439	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160439	sequencing assay	SRX160439	SRR522473_1	FGC	SRR522473	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522473/SRR522473_1.fastq.gz	  	102	fruit	whole plant fruit formation stage 70% to final size
SRS350594	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	whole plant fruit formation stage 70% to final size	  	  	  	Italy: Verona	PFS_III 	SRS350594	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160439	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160439	sequencing assay	SRX160439	SRR522473_2	FGC	SRR522473	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522473/SRR522473_2.fastq.gz	  	102	fruit	whole plant fruit formation stage 70% to final size
SRS350603	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	mid whole plant fruit ripening stage	  	  	  	Italy: Verona	MR_I 	SRS350603	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160440	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160440	sequencing assay	SRX160440	SRR522474_1	FGC	SRR522474	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522474/SRR522474_1.fastq.gz	  	102	fruit	mid whole plant fruit ripening stage
SRS350603	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	mid whole plant fruit ripening stage	  	  	  	Italy: Verona	MR_I 	SRS350603	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160440	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160440	sequencing assay	SRX160440	SRR522474_2	FGC	SRR522474	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522474/SRR522474_2.fastq.gz	  	102	fruit	mid whole plant fruit ripening stage
