Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cultivar]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Description	Comment[BioSD_SAMPLE]	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[Center]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[READ_INDEX_1_BASE_COORD]	Comment[SPOT_LENGTH]	FactorValue [infect]
SRS346460	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected just before Plasmopara viticola inoculation, biological replicate (plant) 1	  	C_1	SRS346460	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_1_SRX155385	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155385	group1	sequencing assay	SRX155385	SRR519449_1	Fondazione Edmund Mach	SRR519449	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/SRR519449/SRR519449_1.fastq.gz	101	200	none
SRS346460	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected just before Plasmopara viticola inoculation, biological replicate (plant) 1	  	C_1	SRS346460	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_1_SRX155385	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155385	group1	sequencing assay	SRX155385	SRR519449_2	Fondazione Edmund Mach	SRR519449	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/SRR519449/SRR519449_2.fastq.gz	101	200	none
SRS346460	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected just before Plasmopara viticola inoculation, biological replicate (plant) 1	  	C_1	SRS346460	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_1_SRX155385	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155385	group1	sequencing assay	SRX155385	SRR519450_1	Fondazione Edmund Mach	SRR519450	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/SRR519450/SRR519450_1.fastq.gz	101	200	none
SRS346460	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected just before Plasmopara viticola inoculation, biological replicate (plant) 1	  	C_1	SRS346460	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_1_SRX155385	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155385	group1	sequencing assay	SRX155385	SRR519450_2	Fondazione Edmund Mach	SRR519450	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/SRR519450/SRR519450_2.fastq.gz	101	200	none
SRS346461	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected just before Plasmopara viticola inoculation, biological replicate (plant) 2	  	C_2	SRS346461	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_2_SRX155386	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155386	group2	sequencing assay	SRX155386	SRR519451_1	Fondazione Edmund Mach	SRR519451	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/SRR519451/SRR519451_1.fastq.gz	101	200	none
SRS346461	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected just before Plasmopara viticola inoculation, biological replicate (plant) 2	  	C_2	SRS346461	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_2_SRX155386	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155386	group2	sequencing assay	SRX155386	SRR519451_2	Fondazione Edmund Mach	SRR519451	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/SRR519451/SRR519451_2.fastq.gz	101	200	none
SRS346461	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected just before Plasmopara viticola inoculation, biological replicate (plant) 2	  	C_2	SRS346461	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_2_SRX155386	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155386	group2	sequencing assay	SRX155386	SRR519452_1	Fondazione Edmund Mach	SRR519452	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/SRR519452/SRR519452_1.fastq.gz	101	200	none
SRS346461	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected just before Plasmopara viticola inoculation, biological replicate (plant) 2	  	C_2	SRS346461	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_2_SRX155386	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155386	group2	sequencing assay	SRX155386	SRR519452_2	Fondazione Edmund Mach	SRR519452	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/SRR519452/SRR519452_2.fastq.gz	101	200	none
SRS346462	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected just before Plasmopara viticola inoculation, biological replicate (plant) 3	  	C_3	SRS346462	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX155387	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155387	group3	sequencing assay	SRX155387	SRR520376_1	Fondazione Edmund Mach	SRR520376	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520376/SRR520376_1.fastq.gz	101	200	none
SRS346462	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected just before Plasmopara viticola inoculation, biological replicate (plant) 3	  	C_3	SRS346462	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX155387	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155387	group3	sequencing assay	SRX155387	SRR520376_2	Fondazione Edmund Mach	SRR520376	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520376/SRR520376_2.fastq.gz	101	200	none
SRS346462	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected just before Plasmopara viticola inoculation, biological replicate (plant) 3	  	C_3	SRS346462	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX768302	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX768302	group3	sequencing assay	SRX768302	SRR520375	Fondazione Edmund Mach	SRR520375	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520375/SRR520375.fastq.gz	  	  	none
SRS346463	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected 24 h after Plasmopara viticola inoculation, biological replicate (plant) 1	  	C_Pv_1	SRS346463	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_4_SRX155388	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155388	group4	sequencing assay	SRX155388	SRR519453_1	Fondazione Edmund Mach	SRR519453	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/SRR519453/SRR519453_1.fastq.gz	101	200	Plasmopara viticola
SRS346463	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected 24 h after Plasmopara viticola inoculation, biological replicate (plant) 1	  	C_Pv_1	SRS346463	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_4_SRX155388	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155388	group4	sequencing assay	SRX155388	SRR519453_2	Fondazione Edmund Mach	SRR519453	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/SRR519453/SRR519453_2.fastq.gz	101	200	Plasmopara viticola
SRS346463	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected 24 h after Plasmopara viticola inoculation, biological replicate (plant) 1	  	C_Pv_1	SRS346463	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_4_SRX155388	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155388	group4	sequencing assay	SRX155388	SRR519454_1	Fondazione Edmund Mach	SRR519454	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/SRR519454/SRR519454_1.fastq.gz	101	200	Plasmopara viticola
SRS346463	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected 24 h after Plasmopara viticola inoculation, biological replicate (plant) 1	  	C_Pv_1	SRS346463	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_4_SRX155388	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155388	group4	sequencing assay	SRX155388	SRR519454_2	Fondazione Edmund Mach	SRR519454	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/SRR519454/SRR519454_2.fastq.gz	101	200	Plasmopara viticola
