Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cultivar]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[growth condition]	Description	Comment[ENA_ALIAS]	Comment [geo_loc_name]	Comment [BioSampleModel]	Comment[BioSD_SAMPLE]	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[Center]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	FactorValue [developmental stage]	FactorValue [sampling time point]	FactorValue [environmental stress]
SRS974469	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	early whole plant fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	V1cold	France:Montpellier	Plant	SAMN03782512	V1cold	SRS974469	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve40_SRX1075582	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075582	sequencing assay	SRX1075582	SRR2081003_1	INRA	SRR2081003	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/003/SRR2081003/SRR2081003_1.fastq.gz	200	early whole plant fruit ripening stage	day	cold temperature regimen
SRS974469	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	early whole plant fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	V1cold	France:Montpellier	Plant	SAMN03782512	V1cold	SRS974469	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve40_SRX1075582	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075582	sequencing assay	SRX1075582	SRR2081003_2	INRA	SRR2081003	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/003/SRR2081003/SRR2081003_2.fastq.gz	200	early whole plant fruit ripening stage	day	cold temperature regimen
SRS974469	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	early whole plant fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	V1cold	France:Montpellier	Plant	SAMN03782512	V1cold	SRS974469	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve41_SRX1075583	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075583	sequencing assay	SRX1075583	SRR2081004_1	INRA	SRR2081004	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/004/SRR2081004/SRR2081004_1.fastq.gz	200	early whole plant fruit ripening stage	day	cold temperature regimen
SRS974469	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	early whole plant fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	V1cold	France:Montpellier	Plant	SAMN03782512	V1cold	SRS974469	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve41_SRX1075583	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075583	sequencing assay	SRX1075583	SRR2081004_2	INRA	SRR2081004	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/004/SRR2081004/SRR2081004_2.fastq.gz	200	early whole plant fruit ripening stage	day	cold temperature regimen
SRS974469	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	early whole plant fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	V1cold	France:Montpellier	Plant	SAMN03782512	V1cold	SRS974469	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve42_SRX1075584	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075584	sequencing assay	SRX1075584	SRR2081005_1	INRA	SRR2081005	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/005/SRR2081005/SRR2081005_1.fastq.gz	200	early whole plant fruit ripening stage	day	cold temperature regimen
SRS974469	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	early whole plant fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	V1cold	France:Montpellier	Plant	SAMN03782512	V1cold	SRS974469	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve42_SRX1075584	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075584	sequencing assay	SRX1075584	SRR2081005_2	INRA	SRR2081005	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/005/SRR2081005/SRR2081005_2.fastq.gz	200	early whole plant fruit ripening stage	day	cold temperature regimen
SRS974468	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	early whole plant fruit ripening stage	fruit	30 degree celsius during day and 25 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 30 degree Celsius during day/25 degree Celsius during night	V1hot	France:Montpellier	Plant	SAMN03782513	V1hot	SRS974468	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve43_SRX1075585	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075585	sequencing assay	SRX1075585	SRR2081006_1	INRA	SRR2081006	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2081006/SRR2081006_1.fastq.gz	200	early whole plant fruit ripening stage	day	warm/hot temperature regimen
SRS974468	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	early whole plant fruit ripening stage	fruit	30 degree celsius during day and 25 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 30 degree Celsius during day/25 degree Celsius during night	V1hot	France:Montpellier	Plant	SAMN03782513	V1hot	SRS974468	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve43_SRX1075585	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075585	sequencing assay	SRX1075585	SRR2081006_2	INRA	SRR2081006	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2081006/SRR2081006_2.fastq.gz	200	early whole plant fruit ripening stage	day	warm/hot temperature regimen
SRS974468	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	early whole plant fruit ripening stage	fruit	30 degree celsius during day and 25 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 30 degree Celsius during day/25 degree Celsius during night	V1hot	France:Montpellier	Plant	SAMN03782513	V1hot	SRS974468	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve44_SRX1075586	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075586	sequencing assay	SRX1075586	SRR2081007_1	INRA	SRR2081007	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/007/SRR2081007/SRR2081007_1.fastq.gz	200	early whole plant fruit ripening stage	day	warm/hot temperature regimen
SRS974468	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	early whole plant fruit ripening stage	fruit	30 degree celsius during day and 25 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 30 degree Celsius during day/25 degree Celsius during night	V1hot	France:Montpellier	Plant	SAMN03782513	V1hot	SRS974468	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve44_SRX1075586	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075586	sequencing assay	SRX1075586	SRR2081007_2	INRA	SRR2081007	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/007/SRR2081007/SRR2081007_2.fastq.gz	200	early whole plant fruit ripening stage	day	warm/hot temperature regimen
