Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cultivar]	Characteristics[developmental stage]	Characteristics[growth condition]	Characteristics[organism part]	Characteristics[genotype]	Characteristics[infect]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[cultivar]	Factor Value[infect]	Factor Value[time]	Unit[time unit]
Char_FDSt_3dpi_130	ERS3164631	SAMEA5359011	Vitis vinifera	Chardonnay	seedling development stage	long day length regimen	whole organism	wild type genotype	Flavescence doree phytoplasma HD1	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Char_FDSt_3dpi_130	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Char_FDSt_3dpi_130	sequencing assay	ERX3191362	MERGED_filtered_CORR_130_Char_FITO_3gg_CTTGTA_L006__R1_.fastQ.bz2	MERGED_filtered_CORR_130_Char_FITO_3gg_CTTGTA_L006__R1_.fastQ.bz2	ERR3163278	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/008/ERR3163278/ERR3163278.fastq.gz	Chardonnay	Flavescence doree phytoplasma HD1	3	day
Char_FDSt_3dpi_131	ERS3164632	SAMEA5359012	Vitis vinifera	Chardonnay	seedling development stage	long day length regimen	whole organism	wild type genotype	Flavescence doree phytoplasma HD1	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Char_FDSt_3dpi_131	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Char_FDSt_3dpi_131	sequencing assay	ERX3191363	MERGED_filtered_CORR_131_Char_FITO_3gg_ACAGTG_L007__R1_.fastQ.bz2	MERGED_filtered_CORR_131_Char_FITO_3gg_ACAGTG_L007__R1_.fastQ.bz2	ERR3163279	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/009/ERR3163279/ERR3163279.fastq.gz	Chardonnay	Flavescence doree phytoplasma HD1	3	day
Char_FDSt_3dpi_134	ERS3164633	SAMEA5359013	Vitis vinifera	Chardonnay	seedling development stage	long day length regimen	whole organism	wild type genotype	Flavescence doree phytoplasma HD1	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Char_FDSt_3dpi_134	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Char_FDSt_3dpi_134	sequencing assay	ERX3191364	MERGED_filtered_CORR_134-Char_FITO_3gg_GTGAAA_L005__R1_.fastQ.bz2	MERGED_filtered_CORR_134-Char_FITO_3gg_GTGAAA_L005__R1_.fastQ.bz2	ERR3163280	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/000/ERR3163280/ERR3163280.fastq.gz	Chardonnay	Flavescence doree phytoplasma HD1	3	day
Char_FDSt_3dpi_50	ERS3164634	SAMEA5359014	Vitis vinifera	Chardonnay	seedling development stage	long day length regimen	whole organism	wild type genotype	Flavescence doree phytoplasma HD1	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Char_FDSt_3dpi_50	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Char_FDSt_3dpi_50	sequencing assay	ERX3191365	MERGED_filtered_CORR_50-Char_FITO_3gg_GTGAAA_L001__R1_.fastQ.bz2	MERGED_filtered_CORR_50-Char_FITO_3gg_GTGAAA_L001__R1_.fastQ.bz2	ERR3163281	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/001/ERR3163281/ERR3163281.fastq.gz	Chardonnay	Flavescence doree phytoplasma HD1	3	day
Char_FDSt_3dpi_66	ERS3164635	SAMEA5359015	Vitis vinifera	Chardonnay	seedling development stage	long day length regimen	whole organism	wild type genotype	Flavescence doree phytoplasma HD1	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Char_FDSt_3dpi_66	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Char_FDSt_3dpi_66	sequencing assay	ERX3191366	MERGED_filtered_CORR_66-Char_FITO_3gg_GTGAAA_L003__R1_.fastQ.bz2	MERGED_filtered_CORR_66-Char_FITO_3gg_GTGAAA_L003__R1_.fastQ.bz2	ERR3163282	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/002/ERR3163282/ERR3163282.fastq.gz	Chardonnay	Flavescence doree phytoplasma HD1	3	day
Char_FDSt_6dpi_662	ERS3164636	SAMEA5359016	Vitis vinifera	Chardonnay	seedling development stage	long day length regimen	whole organism	wild type genotype	Flavescence doree phytoplasma HD1	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Char_FDSt_6dpi_662	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Char_FDSt_6dpi_662	sequencing assay	ERX3191367	MERGED_filtered_CORR_662-Char_FITO_6gg_GTGAAA_L006__R1_.fastQ.bz2	MERGED_filtered_CORR_662-Char_FITO_6gg_GTGAAA_L006__R1_.fastQ.bz2	ERR3163283	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/003/ERR3163283/ERR3163283.fastq.gz	Chardonnay	Flavescence doree phytoplasma HD1	6	day
Char_FDSt_6dpi_668	ERS3164637	SAMEA5359017	Vitis vinifera	Chardonnay	seedling development stage	long day length regimen	whole organism	wild type genotype	Flavescence doree phytoplasma HD1	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Char_FDSt_6dpi_668	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Char_FDSt_6dpi_668	sequencing assay	ERX3191368	MERGED_filtered_CORR_668-Char_FITO_6gg_GTGAAA_L008__R1_.fastQ.bz2	MERGED_filtered_CORR_668-Char_FITO_6gg_GTGAAA_L008__R1_.fastQ.bz2	ERR3163284	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/004/ERR3163284/ERR3163284.fastq.gz	Chardonnay	Flavescence doree phytoplasma HD1	6	day
Char_FDSt_6dpi_670	ERS3164638	SAMEA5359018	Vitis vinifera	Chardonnay	seedling development stage	long day length regimen	whole organism	wild type genotype	Flavescence doree phytoplasma HD1	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Char_FDSt_6dpi_670	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Char_FDSt_6dpi_670	sequencing assay	ERX3191369	MERGED_filtered_CORR_670-Char_FITO_6gg_GTGAAA_L007__R1_.fastQ.bz2	MERGED_filtered_CORR_670-Char_FITO_6gg_GTGAAA_L007__R1_.fastQ.bz2	ERR3163285	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/005/ERR3163285/ERR3163285.fastq.gz	Chardonnay	Flavescence doree phytoplasma HD1	6	day
Tocai_FDSt_3dpi_4	ERS3164648	SAMEA5359028	Vitis vinifera	Tocai	seedling development stage	long day length regimen	whole organism	wild type genotype	Flavescence doree phytoplasma HD1	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Tocai_FDSt_3dpi_4	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Tocai_FDSt_3dpi_4	sequencing assay	ERX3191379	MERGED_filtered_CORR_4-Tocai_FITO_3gg_GTGAAA_L001__R1_.fastQ.bz2	MERGED_filtered_CORR_4-Tocai_FITO_3gg_GTGAAA_L001__R1_.fastQ.bz2	ERR3163295	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/005/ERR3163295/ERR3163295.fastq.gz	Tocai	Flavescence doree phytoplasma HD1	3	day
Tocai_FDSt_3dpi_80	ERS3164649	SAMEA5359029	Vitis vinifera	Tocai	seedling development stage	long day length regimen	whole organism	wild type genotype	Flavescence doree phytoplasma HD1	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Tocai_FDSt_3dpi_80	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Tocai_FDSt_3dpi_80	sequencing assay	ERX3191380	MERGED_filtered_CORR_80-Tocai_FITO_3gg_GTGAAA_L006__R1_.fastQ.bz2	MERGED_filtered_CORR_80-Tocai_FITO_3gg_GTGAAA_L006__R1_.fastQ.bz2	ERR3163296	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/006/ERR3163296/ERR3163296.fastq.gz	Tocai	Flavescence doree phytoplasma HD1	3	day
